,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
758,HP,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,57999,4.0,44,5
759,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,4,Casual,No warranty,No,No,72400,3.0,0,0
760,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,Casual,1 year,Yes,No,78990,4.0,6,0
761,acer,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,ThinNlight,1 year,No,No,59990,3.0,0,0
762,ASUS,AMD,Ryzen 7,Not Available,4,DDR5,512,0,Windows,4,Casual,1 year,No,No,111990,3.0,0,0
763,HP,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,Casual,No warranty,Yes,No,109000,3.0,0,0
764,DELL,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,6,Casual,No warranty,No,No,89990,4.0,191,27
765,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,Casual,3 years,Yes,Yes,78988,3.0,0,0
766,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,4,Casual,No warranty,No,No,73138,3.0,4,1
767,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,4,Casual,1 year,No,No,106990,3.0,0,0
768,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,4,Casual,No warranty,No,No,79990,3.0,0,0
769,DELL,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,Casual,1 year,Yes,Yes,89570,3.0,0,0
770,HP,AMD,Ryzen 7,Not Available,4,DDR4,512,0,Windows,0,ThinNlight,1 year,No,Yes,68500,4.0,134,22
771,Lenovo,AMD,Ryzen 7,Not Available,16,DDR4,512,0,Windows,0,Casual,1 year,No,No,73400,3.0,0,0
772,HP,AMD,Ryzen 7,Not Available,16,DDR4,512,0,Windows,2,Casual,1 year,No,Yes,79990,3.0,23,6
773,HP,AMD,Ryzen 7,Not Available,16,DDR4,512,0,Windows,4,Gaming,1 year,No,Yes,84990,2.0,4,2
775,ASUS,AMD,Ryzen 7,Not Available,8,LPDDR4X,1024,0,Windows,4,Casual,No warranty,No,No,72990,4.0,198,24
776,HP,AMD,Ryzen 7,Not Available,16,DDR4,1024,0,Windows,0,ThinNlight,1 year,Yes,Yes,92990,3.0,0,0
777,HP,AMD,Ryzen 7,Not Available,16,DDR4,1024,0,Windows,0,ThinNlight,1 year,No,Yes,84190,3.0,0,0
778,ASUS,AMD,Ryzen 7,Not Available,16,LPDDR4X,1024,0,Windows,0,Casual,No warranty,Yes,No,112990,3.0,0,0
